Label,tokenized_Transcript,Prediction
1,represent people year system letter prisioner um family know person improperly convict need job inocence project itelse marvelously,0.0
1,reform criminal justice system matter law legitimacy people respect law need believe law treat um equally um fairly,0.0
1,tell say accident say accident ian fine accident tell scream phone ask go say need come drop phone run office,0.0
1,uh office get uh maybe close o clock remember rusty say uh house sort completely coherent say like sleep house call police oh quickly talk police end call tell story happen um ian car day time ian car seat right passenger walk smell gas um walk 'cause sort exit garage little bit car smell gas uh gas meter pipe left house look walk spot near air conditioner say man lie face ground,0.0
1,yes yep stay uh yep prob yes yes,0.0
1,rusty back garage rusty communication know hemy respond speak m sure rusty recognize stay silent entire time rusty panicked get car back driveway end driveway pick phone dial 911 hemy run lawn place stalk house month know exist,0.0
1,idea police officer presume ask mother brother nope say know take yep go house fairly catatonic state dad brother start make phone call local hospital eventually get hold know hospital atlanta medical center tell dad take get car leave correct yes instruct good idea day care uh donna woman run day care yep safe place uh,0.0
1,conversation jodi tell talk girl suppose mean,0.0
1,fine laugh simple little thing feel like wrong day feel like socially time see crowd think comfortable time notice little awkward social area like talk people people talk jodi know cause talkative insightful different,0.0
1,talk everybody know know flirtatious mean ah know um know know tell know know flirt know remember clancy tell know time know know flirt everybody goof take seriously,0.0
1,talk kind book like read mean atlas shrug think girl rich win friend influence people lot interest great conversationalist phone lot common meet business woman national convention entrepreneur think attractive trait thing sound like somebody want know,0.0
1,assumption long time ago know month ago year ago know yeah try pry relationship feel like yeah know long,0.0
1,think cause usually texte computer gmail kind contact actually online think point write hi text online respond start kind talk way,0.0
1,yeah maybe month business struggle think quit point alexander fly town guest speaker solid city market attend training inspire kind change business encounter personally keep go well,0.0
1,friend deceased stand right testify say guy shoot good friend,0.0
1,mean pop right screen get gmail open somebody say know hi pop right reply carry conversation thing mean kind like text message forth immediate respond right away respond thing 2 3 question away know,0.0
1,hard swallow know sexual predator,0.0
1,marvin l. anderson um bear genova virginia um 1982 go trial convict count rape sodomy robery abduction um sentence total sentence year spend 15 year prision year parole exonerate thousand,0.0
1,serve year texas prison life sentence ammm exonerate dna evidence real perpetrator real murderer confession,0.0
1,ahhh lot people value freedom go like value lot,0.0
1,answer question know know murder rape,0.0
1,sentence year prision crime commit trial judge excede sentence guideline say fail remorse tell know feel terrible happen woman shoudn't happen remorse somethig,0.0
1,convict follow year sentence year prision year july exonarate serve twently year dna evidence help innocence project able locate evidence case test test prove commit crime,0.0
1,go to forward know crime,0.0
1,proceed step living room fireplace william sit love seat sit shock repeatedly tell ground face wood floor tell look look start rummage house find stuff asked- ask house say,0.0
1,wonderful mean come ukraine dream family like belcanie adopt mom wonderful exactly dream perfect take ballet go school wonderful family perfect,0.0
1,yes kitchen get ready light hear little bloop bloop um garbage turn somebody ring doorbell blood drip head scream shoot,0.0
1,understand right m coward m say know son year old right go forget lot okay look medium cover bottle feeder want stand like coward baby period go stand take responsability happily life prison child period understand paper work,0.0
1,believe ask hm ask battery time battery charge will able use box time ask like cord,0.0
1,"see man ground inaudible bleed head time try 9 1 1,and were(sigh)transferre like transfer transfer yes",1.0
1,start investigation similarly start um investigation uh call primary briefing assist uh detective uh criminalistic detective scientific portion investigation um member command staff present representative omi district attorney office uh everybody um particular instance uh inside garage uh alexander fixton house present briefing allow use uh garage uh start investigation um brief officer scene lay land figure kind uh know summary happen,0.0
1,point gun face say \step game ground\ ahhh facial feature hair umm cornrow bernard remember cornrow slash good men eyebrow,0.0
