Label,Type,tokenized_Transcript,Prediction
1,A,represent people year system letter prisioner um family know person improperly convict need job inocence project itelse marvelously,0.0
1,A,reform criminal justice system matter law legitimacy people respect law need believe law treat um equally um fairly,0.0
1,A,tell say accident say accident ian fine accident tell scream phone ask go say need come drop phone run office,0.0
1,A,uh office get uh maybe close o clock remember rusty say uh house sort completely coherent say like sleep house call police oh quickly talk police end call tell story happen um ian car day time ian car seat right passenger walk smell gas um walk 'cause sort exit garage little bit car smell gas uh gas meter pipe left house look walk spot near air conditioner say man lie face ground,0.0
1,A,yes yep stay uh yep prob yes yes,0.0
1,A,rusty back garage rusty communication know hemy respond speak m sure rusty recognize stay silent entire time rusty panicked get car back driveway end driveway pick phone dial 911 hemy run lawn place stalk house month know exist,0.0
1,A,idea police officer presume ask mother brother nope say know take yep go house fairly catatonic state dad brother start make phone call local hospital eventually get hold know hospital atlanta medical center tell dad take get car leave correct yes instruct good idea day care uh donna woman run day care yep safe place uh,0.0
1,A,conversation jodi tell talk girl suppose mean,0.0
1,A,fine laugh simple little thing feel like wrong day feel like socially time see crowd think comfortable time notice little awkward social area like talk people people talk jodi know cause talkative insightful different,0.0
1,A,talk everybody know know flirtatious mean ah know um know know tell know know flirt know remember clancy tell know time know know flirt everybody goof take seriously,0.0
1,A,talk kind book like read mean atlas shrug think girl rich win friend influence people lot interest great conversationalist phone lot common meet business woman national convention entrepreneur think attractive trait thing sound like somebody want know,0.0
1,A,assumption long time ago know month ago year ago know yeah try pry relationship feel like yeah know long,0.0
1,A,think cause usually texte computer gmail kind contact actually online think point write hi text online respond start kind talk way,0.0
1,A,yeah maybe month business struggle think quit point alexander fly town guest speaker solid city market attend training inspire kind change business encounter personally keep go well,1.0
1,A,friend deceased stand right testify say guy shoot good friend,0.0
1,A,mean pop right screen get gmail open somebody say know hi pop right reply carry conversation thing mean kind like text message forth immediate respond right away respond thing 2 3 question away know,0.0
1,A,hard swallow know sexual predator,0.0
1,A,marvin l. anderson um bear genova virginia um 1982 go trial convict count rape sodomy robery abduction um sentence total sentence year spend 15 year prision year parole exonerate thousand,0.0
1,A,serve year texas prison life sentence ammm exonerate dna evidence real perpetrator real murderer confession,0.0
1,A,ahhh lot people value freedom go like value lot,0.0
1,A,answer question know know murder rape,0.0
1,A,sentence year prision crime commit trial judge excede sentence guideline say fail remorse tell know feel terrible happen woman shoudn't happen remorse somethig,1.0
1,A,convict follow year sentence year prision year july exonarate serve twently year dna evidence help innocence project able locate evidence case test test prove commit crime,0.0
1,A,go to forward know crime,0.0
1,A,proceed step living room fireplace william sit love seat sit shock repeatedly tell ground face wood floor tell look look start rummage house find stuff asked- ask house say,0.0
1,A,wonderful mean come ukraine dream family like belcanie adopt mom wonderful exactly dream perfect take ballet go school wonderful family perfect,0.0
1,A,yes kitchen get ready light hear little bloop bloop um garbage turn somebody ring doorbell blood drip head scream shoot,0.0
1,A,understand right m coward m say know son year old right go forget lot okay look medium cover bottle feeder want stand like coward baby period go stand take responsability happily life prison child period understand paper work,1.0
1,A,believe ask hm ask battery time battery charge will able use box time ask like cord,0.0
1,A,"see man ground inaudible bleed head time try 9 1 1,and were(sigh)transferre like transfer transfer yes",0.0
1,A,start investigation similarly start um investigation uh call primary briefing assist uh detective uh criminalistic detective scientific portion investigation um member command staff present representative omi district attorney office uh everybody um particular instance uh inside garage uh alexander fixton house present briefing allow use uh garage uh start investigation um brief officer scene lay land figure kind uh know summary happen,0.0
1,A,point gun face say \step game ground\ ahhh facial feature hair umm cornrow bernard remember cornrow slash good men eyebrow,0.0
1,A,correction system go to happen know trust go to happen want want anywhone family go hell country suffer like good sure go to happen,0.0
1,A,black male stand door look like tee shirt basketball short yes pull pistol brother face tell house fuck ground,0.0
1,A,tell finally dark finally show flashlight um cause mention shoot head tell hair soak blood um officer ah arrive butterfly creek ah figure actual incident happen bernardino rest officer ah go residence,0.0
1,A,tactical officer scene deploy inner perimeter um officer purdue deploy high ground position walk officer perez officer ramon hernelez walk go send individual officer weimerskirtz request additional manpower,0.0
1,A,um remember go basement remember like young lady um fall kitchen intoxicated walk um staff staff member actually comment um time remember see,0.0
1,A,ummm start ground start ask question stash girls house ummm start ask idea talk start ask like girl house say ask time time like precede get ground kind go house look value look,0.0
1,A,investigator scene um execute warrant search warrant take um room house actually take um room right walk walk living room um jonathan room,0.0
1,A,interview police mathew hood state jamie hood call ask pick mc donald jamie mc donald parent jamie ask mathew cousin tobarris house change mathew know mathew hood jamie hood leave mc donald,0.0
1,A,recollection see pull knife m m go basically vantage point foot turn appear possibly east point look foot m assume turn go ground,0.0
1,A,thing remember uh come house um pull gun waistband tell eff floor uh nolan,0.0
1,A,um soft body armor um repeat offender project hard body armor uh good rifle round augment body armor um change glass notice time day change glass um sunglass uh clear lense eye protection uh get department rifle insure department rifle taser shotgun um sure body armor recording device,0.0
1,A,um remember hear shot um remember get vehicle fall ground um spo jerry johnson hear come,0.0
1,A,time december nineteenth look missing item uh uh badge gun uh start drive know new castle um go foot couple time um new castle road stadium drive look like badge gun evidence,0.0
1,A,item take serology process need determine type dna present reason sperm cell identify process differential separation try separate sperm cell epithelial cell,0.0
1,A,um daughter ah nicole friend long time ah pretty cause lifer class 2005 um actually teach nicole sophomore english nicole megan band think like 7th 10th grade um excuse basketball 7th 10th band 4th 12th,0.0
1,A,good um treat respect love um like degenerative disc disease neck bring pillow bathroom head neck hurt um um ask know want talk call \baby\ say love tell love time,0.0
1,A,psychologist explain society need umm persecute people sort gratification go umm convoluted talk hour umm,0.0
1,A,a. feel safe b. angela great aunt feel committed um c. need stability permanency safety order able heal recover clear time gabby spend angela receive aunt uncle,0.0
1,A,"ask instinctively \so go drive right?\ say \""you go stay go pick up\ say \""yes\ personal connection grandfather kill drunk driver come intoxicated possibility drive like \""you go anywhere\ moment make sure go stay vicinity ask say \""yes\",0.0
1,A,tall table walk way um stare place look take picture inside outside capture possible uh kind stop uh start talk uh um girl guy drink try uh sense um tell amazed picture take stuff uh say understandable,0.0
1,A,um tanbark start notice debris road way notice uhhh tire mark exactly exactly sure debris ahhh start follow notice damage roadway ahh look see white car tree,1.0
1,A,wake lot pain lot pressure sound somebody moan quickly realize bo shut eye lay think decision consciously wait get literally pick blanket throw,0.0
1,A,mmm initially ve twitter know look like hear people read magazine um 2009 somebody start false twitter account begin tweeting pretend shut um sort idea think february decide,0.0
1,A,typically case like um childhood drug alcoholism molestation thing like thing occur family um know guess sort joke mom beat hard mitigation,0.0
1,A,married year um divorce 10 month old basically young know marriage suppose know know want school jealous um want work school grocery store,0.0
1,A,yes um reginald like long talk long talk um late night guess vulnerable position um sleep,0.0
1,A,bear durango colorado mother single mother old sister karen berry dory gardner old brother um bit young primarily grow um live forth texas new mexico 6 year old point mother marry step father um live live new mexico approximately fifth grade,0.0
1,A,um little um old nephew um year young close little spend lot time um freshman high school go live,0.0
0,A,tell dream ammm forest kill laura help rid go to,0.0
0,A,drink bar maybe ammm get dance floor explain ammm train dancer time go able dance freely like release m space get dance dance floor come join dance floor ahhh join necessarily dance floor initially dance ammm time reach hand defense say twirl ammm,0.0
0,A,sir absolutely sir sir,0.0
0,A,sir,0.0
0,A,approach time trip rug kind bump head nursery ammm know guy see layout ahhh loveseat right rock chair right little wall trip rug bump grant approach grab kind pull pull tell chill start fight little wall right loveseat kick go chair land floor go run bedroom lily stick happen get bedroom little grant try come come door ask noise tell chair fall come bedroom ammm ask daddy tell pick chair,1.0
0,A,time see fall come bathroom see get boat cover honestly know middle seat see boat day,0.0
